call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
ONME;1;MARTHA;MSNG;10;MSNG;MSNG;BE;1977-01-01;1995-01-01;BE-ONME-M63000;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONMF;1;MINERAL MARCHIENNE;MSNG;10;MSNG;MSNG;BE;1974-01-01;1995-01-01;BE-ONMF-M56456;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONMH;1;MAASKROON;MSNG;10;MSNG;MSNG;BE;1984-01-01;1991-01-01;BE-ONMH-M26500;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONMI;1;MONTENAKEN;MSNG;10;MSNG;MSNG;BE;1970-01-01;1995-01-01;BE-ONMI-M53525;;16.0;;;;;;TH1;HY1;ST1;BM1;
ONMM;1;MAETERLINCK;MSNG;10;MSNG;MSNG;BE;1985-01-01;1995-01-01;BE-ONMM-M36452;;27.0;;;;;;TH1;HY1;ST1;BM1;
ONMR;1;BELGIUM;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONMR-B42500;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONNA;1;FINA BELGIQUE;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONNA-F51422;;20.0;;;;;;TH1;HY1;ST1;BM1;
ONNC;1;MERCATOR;MSNG;10;MSNG;MSNG;BE;1978-01-01;1995-01-01;BE-ONNC-M62360;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONND;1;MINERAL SAMITRI;MSNG;10;MSNG;MSNG;BE;1978-01-01;1995-01-01;BE-ONND-M56425;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONNE;1;MINERAL HOBOKEN;MSNG;10;MSNG;MSNG;BE;1978-01-01;1995-01-01;BE-ONNE-M56412;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONPC;1;PETREL;MSNG;10;MSNG;MSNG;BE;1977-01-01;1986-01-01;BE-ONPC-P36400;;18.0;;;;;;TH1;HY1;ST1;BM1;
ONQU;1;QUELLIN;MSNG;10;MSNG;MSNG;BE;1978-01-01;1995-01-01;BE-ONQU-Q45000;;21.0;;;;;;TH1;HY1;ST1;BM1;
ONRV;1;RUTH;MSNG;10;MSNG;MSNG;BE;1977-01-01;1995-01-01;BE-ONRV-R30000;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONSG;1;OSA GENT;MSNG;10;MSNG;MSNG;BE;1977-01-01;1995-01-01;BE-ONSG-O22530;;12.0;;;;;;TH1;HY1;ST1;BM1;
ONSO;1;OSA OSTEND;MSNG;10;MSNG;MSNG;BE;1977-01-01;1995-01-01;BE-ONSO-O22353;;12.0;;;;;;TH1;HY1;ST1;BM1;
ONVA;1;VAN DIJCK;MSNG;10;MSNG;MSNG;BE;1978-01-01;1995-01-01;BE-ONVA-V53200;;21.0;;;;;;TH1;HY1;ST1;BM1;
ONVB;1;RHEIN EXPRESS;MSNG;10;MSNG;MSNG;BE;1985-01-01;1995-01-01;BE-ONVB-R52162;;27.0;;;;;;TH1;HY1;ST1;BM1;
ONWO;1;E.R. BRUSSEL;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONWO-E61624;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONYA;1;YAFFA;MSNG;10;MSNG;MSNG;BE;1977-01-01;1995-01-01;BE-ONYA-Y10000;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONZG;1;ZEEBRUGGE;MSNG;10;MSNG;MSNG;BE;1975-01-01;1995-01-01;BE-ONZG-Z16200;;22.0;;;;;;TH1;HY1;ST1;BM1;
ORGQ;1;BELGICA;MSNG;10;MSNG;MSNG;BE;1985-01-01;1995-01-01;BE-ORGQ-B42200;;8.0;;;;;;TH1;HY1;ST1;BM1;
OSHB;1;GANDA GUNA;MSNG;70;MSNG;MSNG;ID;1982-01-01;1989-01-01;ID-OSHB-G53250;;;;;;;;TH1;HY1;ST1;BM1;
OUEK;2;BESKYTTEREN;MSNG;10;MSNG;MSNG;DK;1984-01-01;1987-01-01;DK-OUEK-B23650;;10.0;;17.0;;;;TH1;HY1;ST1;BM1;AN1
OUEL;2;HVIDBJORNEN;MSNG;10;MSNG;MSNG;DK;1984-01-01;1987-01-01;DK-OUEL-H13126;;10.0;;17.0;;;;TH1;HY1;ST1;BM1;AN1
OUEM;2;VAEDDEREN;MSNG;10;MSNG;MSNG;DK;1984-01-01;1987-01-01;DK-OUEM-V36500;;10.0;;17.0;;;;TH1;HY1;ST1;BM1;AN1
OUEN;2;INGOLF;MSNG;10;MSNG;MSNG;DK;1984-01-01;1987-01-01;DK-OUEN-I52410;;10.0;;17.0;;;;TH1;HY1;ST1;BM1;AN1
OUEO;2;FYLLA;MSNG;10;MSNG;MSNG;DK;1984-01-01;1990-01-01;DK-OUEO-F40000;;10.0;;17.0;;;;TH1;HY1;ST1;BM1;AN1
OUGU;1;TULUGAQ;MSNG;70;MSNG;MSNG;DK;1984-01-01;1995-01-01;DK-OUGU-T42200;;6.0;;;;;;TH1;;ST1;BM1;
OUGV;2;ADLEK;MSNG;70;MSNG;MSNG;DK;1985-01-01;1992-01-01;DK-OUGV-A34200;;6.0;;;;;;TH1;;ST1;BM1;
OUGW;3;MALLEMUKKEN;MSNG;70;MSNG;MSNG;DK;1984-01-01;1990-01-01;DK-OUGW-M45250;;7.0;;;;;;TH1;;ST1;BM1;
OUGX;3;MAAGEN;MSNG;70;MSNG;MSNG;DK;1984-01-01;1991-01-01;DK-OUGX-M25000;;7.0;;;;;;TH1;;ST1;BM1;
OUGY;3;AGPA;MSNG;70;MSNG;MSNG;DK;1984-01-01;1995-01-01;DK-OUGY-A21000;;6.0;;;;;;TH1;;ST1;BM1;
OUIU;1;SARGODHA (DENMARK);MSNG;10;MSNG;MSNG;US;1980-01-01;1987-01-01;US-OUIU-S62335;;26.0;;33.0;;;;TH1;HY1;ST1;BM1;AN1
OULU;1;LEDA MAERSK (DENMARK);MSNG;10;MSNG;MSNG;US;1983-01-01;1990-01-01;US-OULU-L35623;;30.0;;;;;;TH1;;ST1;BM1;
OUNU;7;KUNUNGUAK;MSNG;10;MSNG;MSNG;DK;1985-01-01;1992-01-01;DK-OUNU-K55220;;10.0;;;;;;TH1;HY1;;BM1;
OUPF;1;MARCHEN MAERSK (DENMARK);MSNG;70;MSNG;MSNG;US;1981-01-01;1987-01-01;US-OUPF-M62562;;;;;;;;;;;;
OUQY;1;PEP ALTAIR;MSNG;40;MSNG;MSNG;DK;1984-01-01;1990-01-01;DK-OUQY-P14360;;10.0;;;;;;TH1;;;BM1;
OURP;1;MALACCA (DENMARK);MSNG;70;MSNG;MSNG;US;1985-01-01;1991-01-01;US-OURP-M42356;;;;;;;;;;;;
